Article ID;Title;Author;Publication year;Title secondary;URL;DOI;Abstract;Criteria for exclusion;;;;"Comment: Explicitly assesses&nbsp; climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; region ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; sector ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment:  Modelling&nbsp; or&nbsp; scenario process&nbsp; are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz
463;"Analyzing green and sustainable land use in China’s coal cities: Insights from industrial transformation
";"Zhang, H.; Zhao, Y.; Yang, F.";2024;"PLoS ONE
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191379319&doi=10.1371%2Fjournal.pone.0301836&partnerID=40&md5=bbb0aeab85e596b7f20ae32ff0302814
";"10.1371/journal.pone.0301836
";"Driven by the goal of achieving sustainable development and carbon neutrality. Addressing environmental pollution and remediating land damage have become critical challenges in resource-based cities and regions with low land use efficiency. As a response, this study focuses on the 23 provinces where China’s coal resource-based cities are situated. Utilizing data from 2014 to 2020, this research employs the SBM-Undesirable model, which considers undesirable outputs in efficiency calculations, and the Tobit regression test. It aims to explore the spatio-temporal variations in industrial transformation within resource-based cities and its impact on the efficiency of green space utilization. Furthermore, it analyzes the characteristics and the extent of the influence of factors such as industrial structure adjustments on urban land use efficiency, maximizing the output of land as a factor of production. The results show that: (1) Over the 7-year period studied, China consistently made nationwide adjustments to land area and land use structure to meet the needs of urban development (2) The regression test results show that the industrial transformation of resource-based cities can promote the improvement of green space utilization efficiency. The positive influence coefficient is 0.064 and is significant at a 1% level. (3) Environmental regulation, government expenditure, international trade, and green cover play a positive role in promoting green land use. The study provides valuable insights for policymakers and urban planners seeking to foster sustainable development in resource-based cities. Copyright: © 2024 Zhang et al.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SBM-Undesirable model;;The description of question 4 says: The paper applies a quantitative model and/or a scenario process to generate climate-neutral pathways or systems. If the first question is answered with no, the fourth, hence, cannot be answered with yes.;;;;;;;;
466;"Integrated carbon footprint accounting for coffee: A new perspective on low-carbon and sustainable living
";"Li, Z.; Li, X.; Jia, Q.; Li, F.";2025;"Bioresource Technology Reports
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014282605&doi=10.1016%2Fj.biteb.2025.102248&partnerID=40&md5=9152b75d84284c8a33395e4ca5f3c97b
";"10.1016/j.biteb.2025.102248
";"Coffee is a beverage with a long history and is still widely popular. In China, the coffee industry is experiencing vigorous development and the greenhouse gas emissions of the coffee industry cannot be ignored. This study takes a 300 mL cup of coffee as the functional unit and established the life cycle model, including the carbon emissions of farming, processing, transportation, consumption and treatment stage. The results show that the carbon emissions of a Latte (0.967 kg CO2e) are higher than those of an Americano (0.878 kg CO2e). The carbon emissions of milk account for 75.45 % of those of a Latte, while ultrafiltration water is the main contributor to carbon emissions of an Americano (0.298 kg CO2e, 34.01 %). Secondly, the use of fertilizers during the farming stage accounts for 25.48 % to 28.04 % of the carbon emissions. In addition, solutions were provided for the coffee industry in China to reduce carbon emission. © 2025
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;agriculture, coffee;;Coffee is not agriculture. Too specific, in my opinion?;;;;;;;;;;;;;;;;;;;;;;;;;;;;
467;"Energy, environmental, economic, and social assessment of photovoltaic potential on expressway slopes: A case in Fujian Province, China
";"Lin, S.; Lin, J.; Jing, R.; Ye, X.; Han, H.; Bian, Y.; You, Q.";2024;"Energy Reports
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206613625&doi=10.1016%2Fj.egyr.2024.09.066&partnerID=40&md5=6234755d8de65353b318979b6763acc6
";"10.1016/j.egyr.2024.09.066
";"Expressway slopes within the boundary of expressway construction land have the potential to be transformed from conventional land use to valuable utilization through the installation of photovoltaic (PV) systems. Considering the continuous increase in expressway mileage, the PV potential could be enormous; therefore, a method to quantify such potential is urgently needed. This study proposes a potential assessment method for expressway slope photovoltaics. First, the suitable locations of expressway slopes for installing PV systems are identified on the basis of publicly available digital maps, combined with the principles of PV site selection and geographic information systems. Then, the PVsyst model is used to simulate the power generation efficiency and power output of the PV systems and to evaluate their PV potential, contribution, and economic benefits. The implementation of the proposed method in Fujian Province, China, indicates that the installed capacity of PV systems could reach 16.3 GW, with an annual power output of 17,940 GWh, contributing to the peak shaving of power grids and regional energy supply. The reductions in CO2, SOx, and NOx emissions are 16.65 Mt, 8970 t, and 3947 t per year, respectively. Considering carbon trading, the payback period is shortened to 11.7 years, with the return on investment of 65.38 % and the net present value of 52.6 billion RMB over a 25-year operational period. Additionally, this project could create 19.88 % of jobs in the energy sector in Fujian Province, providing 27,861 jobs during the construction phase and 18,248 jobs during the operation and maintenance phase. Thus, this project is economically viable and generates positive energy, environmental, and social benefits, contributing to the promotion of local energy transition and sustainable development. © 2024 The Authors
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PVsyst model;;The description of question 4 says: The paper applies a quantitative model and/or a scenario process to generate climate-neutral pathways or systems. If the first question is answered with no, the fourth, hence, cannot be answered with yes.;;;;;;;;
468;"Natural resources, cCarbon trading policies and total factor carbon efficiency: A new direction for China's economy
";"Chen, Y.; Mu, H.";2023;"Resources Policy
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172258776&doi=10.1016%2Fj.resourpol.2023.104183&partnerID=40&md5=cfcc1981f68e27913e790ae9b2353b0e
";"10.1016/j.resourpol.2023.104183
";"The role of natural resources is important not only for carbon emissions but also for the overall sustainable development of an economy. With the dual pressure of the worsening global climate problem and the deteriorating domestic environment, carbon emissions and other greenhouse gas emissions must be solved urgently. Consequently, assessing China's “carbon trading” policies' effect on total factor carbon efficiency is essential to achieving China's carbon neutrality objectives. Using the Difference-in-Difference estimation model and panel data in 30 provincial-level administrative regions within China from 2000 to 2020, this study examines the effect of “carbon trading” policy on total factor carbon efficiency. The study's findings indicate that the carbon trading policy encourages total carbon efficiency development. Additionally, the conclusions are robust. Moreover, the results show that the mediation effect analysis indicates that a “carbon trading” policy promotes increasing total factor carbon efficiency through decreasing total energy consumption, optimizing the energy structure, increasing technological innovation, and increasing forest coverage. The heterogeneity analysis reveals that enacting carbon trading policies in the central and western regions is more effective at fostering the enhancement of total factor carbon efficiency. Based on these findings, policy recommendations are made to promote the enhancement of total factor carbon efficiency and attain China's “Carbon peaking and carbon neutrality” objective. © 2023 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;paper argues that carbon trading policies are essential for achieving Chinas carbon neutrality goals. ;;"This is an econometric study studying the timeframe 2010-2019. 

The study does not assess a climate neutrality target, as it is an econometric study focusing on the past!";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Difference-in-Difference estimation model and panel data;;;;;;;;;;
469;"Biochar carbon removal from residues in Germany—assessment from environmental and economic perspectives
";"Lenk, C.; Zozmann, E.; Bluhm, H.; Hirschl, B.";2024;"Environmental Research Letters 
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207635623&doi=10.1088%2F1748-9326%2Fad83e3&partnerID=40&md5=e9c32486d74648d3062cd4912eda3be4
";"10.1088/1748-9326/ad83e3
";"The topic of biochar carbon removal (BCR), which refers to the pyrolysis of biomass, is increasingly being discussed as a potential solution for the long-term removal of carbon dioxide from the atmosphere. However, BCR technology assessments in Germany, which are used as the basis for strategic decision-making, are often limited to woody biomass as an input material and are based on old data. Consequently, this study focuses on BCR from forest residues, straw and sewage sludge and assesses its contribution to negative emissions under current techno-economic framework conditions. Using life cycle assessment and annuity method, as well as complementary stakeholder engagement formats, the study provides a comprehensive analysis of BCR pathways in Germany based on an empirical, up-to-date data basis. The results highlight the environmental advantages of BCR, particularly in reducing greenhouse gas emissions compared to the conventional treatment of residues. The economic feasibility of BCR is uncertain, with profitability dependent on plant scale, biomass type and the integration of energy co-products. Stakeholder insights underscore the necessity for supportive policies and investment in BCR technology to enhance scalability. This interdisciplinary approach enriches the discourse on BCR’s role in achieving carbon neutrality and offers a robust data foundation for future evaluations. © 2024 The Author(s). Published by IOP Publishing Ltd.
";;;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
470;"The impact of teleconnections of built-up land on regional carbon burden under the shared socio-economic pathways
";"Wang, P.; Li, H.; Wang, L.; Huang, Z.";2024;"Science of the Total Environment
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173248800&doi=10.1016%2Fj.scitotenv.2023.167589&partnerID=40&md5=65f5141d9d51ade6aab9c38caa142521
";"10.1016/j.scitotenv.2023.167589
";"The expansion of built-up land is currently being increasingly triggered by remote demand, thus disturbing the local process of carbon neutrality significantly. It is meaningful to understand the relations between regional development and carbon balance. To this end, we combine the multi-regional input-output model with the land system cellular automata model for potential effects (LANDSCAPE) to illustrate the impact that regional development has on the carbon burden. The results show that the expansion of built-up land results in a regional carbon burden through taking over ecological land and generating carbon emissions, to which the manufacturing industry land is the largest contributor. Regionally, developed regions exert the greatest influences on the changes in the regional carbon burden, mainly because the promotion of their development leads to the expansion of built-up land in all regions. Developing regions can impact undeveloped regions and themselves, while it is hard for undeveloped regions to change the regional carbon burden due to their low capacity to externally drive the expansion of built-up land. Meanwhile, the continuing development of developed regions exerts great pressure on carbon neutrality in both developing and undeveloped regions as they expand the “high-quality” built-up land themselves, which means that regional development may lead to changes in the carbon burden of regions which are less developed. © 2023
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;paper looks at land use and how it affects achievement of carbon neutrality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;multi-regional input-output model with the land system cellular automata model;;;;;;;;;;
473;"Study on security guarantee and implementation strategy of China's natural resources towards carbon neutrality
";Shen, L.;2022;"Journal of Natural Resources
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018953387&doi=10.31497%2Fzrzyxb.20221201&partnerID=40&md5=aa2b184e688e1418b94f12fe6a74f55f
";"10.31497/zrzyxb.20221201
";"The Covid-19 lasting for years and the geopolitical and economic changes around the world have a significant impact on China's carbon neutral strategy and the protection of natural resources in the near term and future. How to combine the goals of realizing carbon neutrality and ensuring natural resource security, and put forward the security and realization strategy of natural resources from the perspective of the technical logic of carbon neutrality and the practical logic in the field of natural resources, has important practical significance and theoretical value for China. Starting from the important supporting role of natural resources in national economic and social development along with the analysis of the current practice of natural resource utilization and protection, this paper systematically reviewed some related problems of carbon neutrality and main paths to realize carbon neutrality in the field of natural resources. The author believes that the current understanding of carbon emissions has not only the uncertainty of quantitative indicators, but many other misunderstandings as well. Facing the multi-dimensions of development goals towards the years of 2030 and 2060, China needs to coordinate the rational utilization of various energy and natural resources. In order to achieve carbon neutrality in the field of natural resources, China should adhere to its own technical and practical logics, clarifying various boundaries between carbon neutrality actions, and strengthening the research on the basic theories and methods of natural resources, revealing the coupling mechanism between carbon peak and carbon neutrality (2060 goals) and energy and resources, studying and formulating the seceding path and other utilization strategies of fossil energy, enhancing applicable technologies to improve the efficiency of resource and energy utilization, exploring the potential and implementation path of carbon sink increase through forest and grass, wetland, land use and carbon sequestration, and developing the new model of systematic governance of mountains, rivers, forests, lakes, grass, sand, ice and natural resources, carrying out strategic research, simulation and early warning, dynamic assessment, method innovation and application demonstration of natural resource security oriented to the strategic goal of carbon neutrality. The author also proposes ten key strategic plans to be implemented immediately, including the action of dual control of fossil energy, the action of renewable energy exploration, the action of resource utilization and efficiency improvement, the action of increasing storage of key minerals, the action of farmland protection and restoration, the action of forest and grass expansion and conservation, the action of wetland restoration and protection, the action of land and sea coordination, the action of resource management intelligence, and the action of talent and technology innovation. © 2022 Science Press. All rights reserved.
";;;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
474;"Incorporating embodied carbon transfer and sequestration service flows into regional carbon neutrality assessment in China
";"Xi, H.; Liu, X.; Ding, X.; Huang, C.; Tao, Y.; Tao, Q.; Li, J.; Cheng, X.; Wang, F.; Ou, W.";2024;"Sustainable Production and Consumption
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205900072&doi=10.1016%2Fj.spc.2024.10.003&partnerID=40&md5=899e40d3ebad508734b695778374177c
";"10.1016/j.spc.2024.10.003
";"Reliable and effective carbon neutrality assessments are crucial prerequisites for implementing various low-carbon policies and achieving carbon neutrality goals. Although the impact of embodied carbon transfer and carbon sequestration service flows on regional carbon neutrality is becoming increasingly significant, these factors are not effectively incorporated into current carbon neutrality assessments. Based on a thorough review of the literature and theoretical analysis, this study attempts to construct a regional carbon neutrality assessment framework that incorporates embodied carbon transfer and carbon sequestration service flows. This framework is then applied to assess carbon neutrality and its influencing factors in China's provinces. Our findings reveal that carbon emissions and sequestration capacities have increased across Chinese provinces, with the highest emissions in North and East China, and the highest sequestration in Southwest China. Economically developed provinces like Beijing, Zhejiang, and Jiangsu transfer substantial embodied carbon to provinces such as Inner Mongolia, Shanxi, and Hebei, while Guangxi, Sichuan, Yunnan, and Qinghai are major providers of carbon sequestration services. Carbon neutrality levels in Chinese provinces show a ring-shaped distribution, increasing from the inner to outer rings. Higher levels are found in Southwest and Northwest provinces (e.g., Yunnan, Qinghai, Guangxi), and lower levels in North and East provinces (e.g., Shanxi, Beijing, Zhejiang). Factors like urbanization rate, population density, per capita GDP, and energy consumption structure negatively impact carbon neutrality levels, whereas ecological land area and annual precipitation have positive impacts. In summary, incorporating embodied carbon transfer and carbon sequestration service flows into the regional carbon neutrality assessment framework facilitates a more comprehensive analysis of regional carbon neutrality levels and their influencing factors. This approach broadens the theoretical and methodological scope of regional carbon neutrality assessments and provides scientific references for the implementation of low-carbon policies and the advancement of carbon neutrality goals. © 2024 Institution of Chemical Engineers
";;;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
475;"Energy Savings and Range Extension from Aerodynamic Improvements of Emerging Zero-Emission Heavy Vehicle Concepts
";"Mcauliffe, B.; Ghorbanishohrat, F.";2025;"SAE Technical Papers
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008199762&doi=10.4271%2F2025-01-8787&partnerID=40&md5=ecfa0ffbc1430e823d85290abe6728a1
";"10.4271/2025-01-8787
";"An energy-use analysis is presented to examine the potential energy-savings and range-extension benefits of aerodynamic improvements to tractors and trailers used in commercial transportation. The impetus for the study was the observation of aerodynamically-redesigned/optimized tractor shapes of emerging zero-emission commercial vehicles that have the potential for significant drag reduction over conventional aerodynamic tractors. Using wind-tunnel test results, a series of aerodynamic performance models were developed representing a range of tractor and trailer combinations. From modern day-cab and sleeper-cab tractors to aerodynamically-optimized zero-emission cab concepts, paired with standard dry-van trailers or low-drag trailer concepts, the study examines the energy use, and potential savings thereof, from implementing various fleet configurations for different operational duty cycles. An energy-use analysis was implemented to estimate the energy-rate contributions associated with inertial accelerations, grade forces, rolling resistances, and aerodynamic-drag forces for three types of duty cycles: Long Haul, Regional Haul, and Urban Delivery. A duty-cycle-simulation approach was implemented using speed-dependent wind-averaged-drag models, adapted for local wind-speed magnitudes representative of each duty-cycle environment. This method was validated for the long-haul cycle against a constant-speed wind-climate-simulation approach applied to a fleet-transportation network. Results demonstrate that Urban Delivery operations expend a smaller magnitude, and smaller relative proportion, of energy use to overcome aerodynamic drag, but that significant savings are nonetheless possible for these operations with aerodynamic improvements to the trucks. Over the range of tractor- and trailer-aerodynamic improvements examined, the analyses reveal the potential for 4-27% energy-rate savings and 5-37% range extension for the Long Haul cycle, 3-16% energy-rate savings and 3-18% range extension for the Regional Haul cycle, and with 2-9% energy-rate savings and 2-10% range extension estimated for the Urban Delivery Cycle. Although results show significant reductions in energy use associated with emerging zero-emission-tractor shapes, trailer-aerodynamic improvements are shown to have about twice the potential for energy savings and range reduction than do tractor-aerodynamic improvements. © 2025 National Research Council Canada.
";;"Explicitly assesses at least one  region ?  (Population); ";"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
476;"Patterns, drivers and projections of carbon footprints in urban Chinese households: Based on interdisciplinary approaches
";"Hao, H.; Guo, X.; Wang, C.; Yang, J.";2025;"Journal of Environmental Management
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016788297&doi=10.1016%2Fj.jenvman.2025.127436&partnerID=40&md5=7d196e493191c59f5342f2f41372d4e9
";"10.1016/j.jenvman.2025.127436
";"Climate change, driven by greenhouse gas emissions from human activities, poses a significant challenge to global sustainability. The urban household sector is a major contributor to carbon emissions, and the measurement and control of urban household carbon footprints is a global challenge. We compiled a novel and extensive dataset comprising 283,529 household-level emission records from 208 cities across China, spanning the period from 2002 to 2020. Employing interdisciplinary methods, including environmental input-output models, the Logarithmic Mean Divisia Index (LMDI), and Random Forest with SHapley Additive Explanations (SHAP) algorithms, we analyze the patterns, drivers, and projections of urban household carbon emissions. Our findings indicate that indirect emissions consistently exceeded direct emissions, with a peak around 2016, while direct emissions exhibited a steady increase. Spatial disparities are evident, with higher emissions observed in eastern coastal regions, municipalities, and provincial capitals. Key drivers of emissions include per capita GDP, population density, and extreme weather, while technological advancements have a strong suppressive effect and shifts in consumption patterns offer substantial mitigation potential. The low-carbon development path accelerates the decline of indirect carbon emissions and slows the increase of direct carbon emissions, while the fossil fuel-driven path slows the decline of indirect carbon emissions and accelerates the increase of direct carbon emissions. The study underscores the necessity of integrated optimized urban planning, climate policies, technological innovation and the adoption of clean energy to mitigate emissions and achieve long-term sustainability goals. © 2025 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";;"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;"""low carbon"" is not carbon neutral?";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;environmental input-output models, the Logarithmic Mean Divisia Index (LMDI), and Random Forest with SHapley Additive Explanations (SHAP) algorithms;;;;;;;;;;
477;"Quantifying Carbon Emissions: Integrating Machine Learning with IoT for Traffic-Aware Emission Scores
";"Nagpal, A.; Nanda, S.; Saini, P.; Varshney, S.; Sachan, S.; Rekh, S.";2024;"2024 1st International Conference on Sustainability and Technological Advancements in Engineering Domain, SUSTAINED 2024
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013620589&doi=10.1109%2FSUSTAINED63638.2024.11074108&partnerID=40&md5=1f2e55f3260287e3e19560bacaa4eea2
";"10.1109/SUSTAINED63638.2024.11074108
";"The current nature of society and its dependency on fossil fuels contribute to a consistent trend in the increase of global CO2 emissions. Since 1990 to the present, global CO‚ emissions have increased by more than 60 percent. The amount of CO‚ emitted by a average passenger car is typically around 4.6 metric tonnes per year. This paper aims to predict traffic conditions categorised by the following congestion levels: low, normal, and high congestion levels, and subsequently calculate the carbon emission score. This is accomplished through the integration of two critical components of computer science: the Internet of Things (IOT) and machine learning (ML). The study also aligns with the SDG 7 (Affordable and Clean Energy) and the SDG 11 (Sustainable Cities and Communities) by seeking to create efficient and eco-friendly traffic systems by establishing a standard way of comparing carbon emissions by looking at the external environment and the vehicle data during a trip. This is achieved by analysing traffic data and total carbon emissions to suggest a carbon emission score for all cars, allowing for a more precise comparison. Several machine learning models, like linear regression, random forest classifier, XGBoost, and AdaBoost, were used to predict traffic congestion. The findings indicate that XGBoost surpasses other models with accuracy of 98.9%. The project's low cost and minimal resources is to facilitate user adoption and implementation. This study aims to promote strategies that contribute to environmental sustainability and advance efforts toward a cleaner, more sustainable future.  © 2024 IEEE.
";"Explicitly assesses  climate neutrality target ?  (Population); ";"Explicitly assesses at least one  region ?  (Population); ";"Explicitly assesses at least one  sector ?  (Population); ";" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Several machine learning model (...) were used to predict traffic congestion. ;;The description of question 4 says: The paper applies a quantitative model and/or a scenario process to generate climate-neutral pathways or systems. If the first question is answered with no, the fourth, hence, cannot be answered with yes! ;;;;;;;;
479;"Evaluating the Spatiotemporal Characteristics of Agricultural Eco-Efficiency Alongside China’s Carbon Neutrality Targets
";"Cheng, C.; Li, J.; Qiu, Y.; Gao, C.; Gao, Q.";2022;"International Journal of Environmental Research and Public Health
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143672732&doi=10.3390%2Fijerph192315478&partnerID=40&md5=c79ff96deb1f8b394b36edb5fefe470e
";"10.3390/ijerph192315478
";"Agriculture has the dual effect of contributing to both carbon emissions and sequestration, and thus plays a critical role in mitigating global climate change and achieving carbon neutrality. Agricultural eco-efficiency (AEE) is an important measurement through which we can assess the efforts toward reduced emissions and increased sequestration. The purpose of this study was to understand the relationship between China’s target of carbon neutrality and AEE through an evaluative model, so as to improve AEE and ultimately achieve sustainable agricultural development. The Super-SBM model scientifically measures the AEE based on provincial panel data collected between 2000 and 2020. We selected kernel density function and spatial distribution to explore the spatial and temporal evolutionary trends, and used a Tobit model to identify the drivers of AEE. The research shows that (1) China’s agricultural system functions as a net carbon sink, with all provinces’ agricultural carbon sequestration levels recorded as higher than their carbon emissions from 2000 to 2020. (2) Despite sequestration levels, the level of AEE in China is not high enough, and the average efficiency level from 2000 to 2020 is 0.7726, showing an overall trend where AEE decreased at first and then increased. (3) The AEE of each province is clearly polarized; there are obvious core–periphery characteristics and spatial distribution of clustered contiguous areas. Central provinces generally have lower efficiency, eastern and northeastern provinces have higher efficiency, and northeastern provinces always remain in the high-efficiency group. (4) Influencing factors show that urbanization, upgrading of industrial structure, financial support for agriculture, and mechanization have a significant positive impact on AEE. These findings have important implications for the promotion of the low-carbon green development of Chinese agriculture. © 2022 by the authors.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;used a Tobit model ;;The description of question 4 says: The paper applies a quantitative model and/or a scenario process to generate climate-neutral pathways or systems. If the first question is answered with no, the fourth, hence, cannot be answered with yes! ;;;;;;;;
481;"Mechanisms underlying the impacts of cropland wind farms on local carbon and water fluxes
";"Dang, D.; Li, X.; Lyu, X.; Liu, S.; Liu, S.; Su, N.; Zhang, C.";2025;"Environmental Research Letters 
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003322505&doi=10.1088%2F1748-9326%2Fadcb56&partnerID=40&md5=537b9d96d3ab353938b1cc168d7e764c
";"10.1088/1748-9326/adcb56
";"In recent years, the rapid expansion of the wind power industry has increased awareness of its ecological impacts. A thorough understanding of these impacts is essential for scientifically planning wind farms (WFs) in the future. While previous studies have evaluated the influences of WFs on vegetation and climate indicators, analyses of the underlying mechanisms remain limited. Here, we focused on 169 cropland WFs in eastern China to investigate the impacts of this prevalent type of WF. Specifically, we developed an analytical framework that first evaluated the impacts of cropland WFs on ecological and environmental factors. Ridge regression was then applied to identify differences in the environmental variables inside and outside the WFs that affect gross primary productivity (GPP) and evapotranspiration (ET). Finally, structural equation modeling was used to delineate the pathways by which WFs influence GPP and ET. The results show that WFs reduce daytime land surface temperature by 0.186 °C, significantly increase soil moisture (0.003 m3 m−3), and decrease the vapor pressure deficit by 0.095 hPa. These environmental changes subsequently contributed to a significant rise in GPP (25.181 gC m−2) and ET (3.785 mm). By elucidating the complex ecological impacts of WFs from a pathway perspective, this study reveals the interactions among factors influenced by the local scale temperature effects of WFs, providing a deeper understanding of their ecological impacts and valuable insights for future research. © 2025 The Author(s). Published by IOP Publishing Ltd.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;structural equation modeling was used ;;The description of question 4 says: The paper applies a quantitative model and/or a scenario process to generate climate-neutral pathways or systems. If the first question is answered with no, the fourth, hence, cannot be answered with yes! ;;;;;;;;
